Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Spring Lake, NJ",3470110,301,148,14,14,1845.232665,1588700,50
"Fishers Island, NY",3625923,26,,,,1392.976068,1587500,1
"Los Gatos, CA",644112,3856,1022,556,279,2237.161522,1586700,226
"Cupertino, CA",617610,8219,2061,874,257,3133.971163,1584600,598
"Highlands-Baywood Park, CA",633633,177,35,78,0,2321.508249,1582300,0
"Sullivan's Island, SC",4570090,135,30,19,11,2294.493544,1575900,27
"Wainscott, NY",3677805,0,16,0,0,2385.101598,1570300,0
"Amagansett, NY",3601594,34,15,0,27,1705.492669,1567700,36
"Water Mill, NY",3678575,45,23,0,99,3246.510108,1563900,0
"Nicasio, CA",651280,9,,,,,1562500,0
"Westover Hills, TX",4877788,3,10,4,0,,1561400,0
"Coronado, CA",616378,3883,472,43,605,2477.881088,1537000,203
"Munsey Park, NY",3649231,74,49,11,25,1715.738796,1533900,0
"Mill Valley, CA",647710,1594,355,149,23,2373.544813,1510800,0
"Oyster Bay Cove, NY",3656011,27,108,106,0,1615.685458,1506800,9
"Bodega, CA",607246,39,,,,,1506200,0
"Paradise Valley, AZ",452930,363,494,43,76,1613.191169,1505300,0
"San Carlos, CA",665070,3052,317,391,68,2207.58734,1502300,108
"Lloyd Harbor, NY",3643005,70,95,0,32,1200.619728,1498600,0
"Old Greenwich, CT",956900,390,179,144,25,2656.877206,1493900,0
"Harbor Hills, NY",3632094,0,,,,,1487000,0
"Darien, CT",918920,1059,780,25,259,3060.92826,1461100,0
"Toro Canyon, CA",679529,175,0,5,0,2173.48276,1453500,71
"Bell Canyon, CA",604938,66,11,36,0,2742.871105,1452400,0
"Deal, NJ",3416660,102,9,19,0,1287,1450000,0
"Laurel Hollow, NY",3641487,49,49,0,6,2886.65855,1448900,0
"Scarsdale, NY",3665431,470,248,96,201,,1445400,36
"Highland Park, TX",4833824,600,503,67,0,2657.726937,1440400,0
"Mill Neck, NY",3647405,18,9,0,8,2920.189589,1428600,4
"Belle Meade, TN",4704620,98,159,13,0,2381.028051,1420800,0
"Bunker Hill Village, TX",4811300,27,96,0,0,,1415100,0
"Kiawah Island, SC",4538162,17,5,75,0,2149.557577,1411600,0
"La Cañada Flintridge, CA",639003,663,559,48,235,2686.398329,1404000,2
"Beaux Arts Village, WA",5304895,16,29,0,0,1095.949924,1402200,0
"Hunting Valley, OH",3936918,23,22,6,0,,1400000,0
"Huntleigh, MO",2933850,9,0,0,0,,1387500,0
"Carmel-by-the-Sea, CA",611250,735,111,25,38,2154.985677,1384000,132
"Belmont, CA",605108,4059,774,413,191,2140.371611,1383700,477
"Saddle Rock, NY",3664430,1,33,0,0,,1369800,0
"Short Hills, NJ",3467320,371,129,112,47,2416.019797,1361500,0
"Kensington, NY",3639309,37,76,5,0,,1360600,3
"Hermosa Beach, CA",633364,4498,681,111,332,2143.389668,1357300,0
"Great Neck Estates, NY",3630191,87,45,87,0,2784,1356100,0
"Orinda, CA",654232,801,409,129,62,2451.717927,1342100,0
"Olowalu, HI",1557650,33,,,,1595.530556,1340300,0
"Flower Hill, NY",3626352,159,81,93,15,1771.511285,1333300,0
"Summerland, CA",675714,88,23,7,0,2920.19008,1326900,2
"Southside Place, TX",4869272,107,2,94,0,905.820718,1324200,20
"Riverside, CT",964530,539,290,18,155,2099.494398,1307200,35
"Lafayette, CA",639122,2804,416,255,52,2050.354354,1302900,16
"Chevy Chase town, Montgomery County, MD",2416620,67,64,10,38,,1277300,0
"Somerset, MD",2473350,26,16,0,0,,1276400,4
"Sausalito, CA",670364,1979,288,161,20,2317.642406,1272700,63
"Blackhawk, CA",606928,188,300,77,0,,1267400,0
"Larkspur, CA",640438,2848,445,224,116,2063.605235,1264800,74
"Jupiter Inlet Colony, FL",1235900,9,30,0,0,2450.221474,1257400,0
"Chevy Chase Section Five, MD",2416720,12,0,0,9,,1256600,0
"Southampton, NY",3668462,223,130,0,0,1845.715505,1252900,28
"Rye, NY",3664309,1301,341,28,113,2190.448956,1249500,0
"Santa Monica, CA",670000,32153,3229,832,1183,1730.370921,1242100,344
"Silverado Resort, CA",671927,0,160,38,0,2410.310461,1241700,3
"Millbrae, CA",647486,2954,520,332,83,2311.551019,1230900,70
"Lake Angelus, MI",2644440,10,0,0,0,1610.819419,1230800,0
"Orchid, FL",1252175,3,49,0,0,,1230400,10
"University Park, TX",4874492,1374,1147,400,62,1951.419817,1230200,140
"Rolling Hills Estates, CA",662644,186,188,15,10,,1229300,3
"Camino Tassajara, CA",610301,230,0,87,17,1720.090408,1226300,0
"Cambrian Park, CA",610088,166,105,0,6,2445.497974,1224100,0
"Key Biscayne, FL",1236300,1395,467,49,54,2747.900132,1218200,234
"Mountain View, Santa Clara County, CA",649670,19990,3052,1666,529,2328.613007,1214800,983
"Del Monte Forest, CA",618590,306,0,0,34,3259.56926,1210400,0
"Castle Hill, CA",611915,33,32,38,45,,1205100,0
"Pupukea, HI",1566800,593,18,0,68,1768.776236,1199400,0
"Larchmont, NY",3641333,464,108,56,54,1964.854549,1195800,0
"Lake Success, NY",3640937,18,40,16,0,,1192800,0
"Sag Harbor, NY",3664485,302,66,0,34,1959.739218,1188900,56
"Allenhurst, NJ",3400730,50,0,0,0,1112.609037,1185000,0
"Stone Harbor, NJ",3471010,19,29,0,11,1377.169974,1182700,325
"Barton Creek, TX",4805750,340,40,14,0,1292,1181900,223
"Hedwig Village, TX",4833068,448,105,0,0,1263.133093,1181900,0
"Corte Madera, CA",616462,1303,116,24,42,2635.716451,1175000,13
"Asharoken, NY",3602737,13,24,0,0,,1173500,24
"North Haven, NY",3652188,0,9,0,0,,1172500,1
"Tamalpais-Homestead Valley, CA",677805,1053,286,108,272,2843.366193,1169800,0
"Westport, CT",983570,1757,989,27,202,1924.712034,1167500,127
"Woodway, WA",5379835,14,23,0,45,1404.66992,1161300,0
"Avalon, NJ",3402320,44,3,0,49,1352.849928,1158700,336
"Villa Park, CA",682744,100,46,9,24,,1156600,9
"Martin's Additions, MD",2450965,22,0,0,9,,1153700,2
"Foster City, CA",625338,5492,1345,599,161,3094.483759,1153600,185
"North Gate, CA",651890,58,,,,,1152800,0
"Santa Rosa Valley, CA",670130,24,30,20,26,982.6895745,1150200,0
"Saddle Rock Estates, NY",3664441,0,,,,,1150000,0
"Palm Beach, FL",1254025,739,336,82,210,1715.126776,1149500,9
"Mission Canyon, CA",648147,138,11,0,0,1946.2,1147600,30
"Roslyn Estates, NY",3663792,13,16,18,0,2868.17986,1146500,5
"Plandome Heights, NY",3658486,12,9,21,0,3499.4,1145300,0
"Bay Head, NJ",3403520,89,12,7,0,1755.311949,1137300,18
"Solana Beach, CA",672506,2357,265,48,79,2099.576764,1137100,141
"Huntington Bay, NY",3637022,44,29,44,7,2848.611193,1137000,14
"Mercer Island, WA",5345005,3291,1148,87,229,2010.049369,1135200,333
"Great Falls, VA",5132496,103,452,290,506,,1133100,25
"Kenilworth, IL",1739519,79,176,0,0,,1133000,0
"Bronxville, NY",3608532,367,189,17,37,3063.442199,1131100,0
"Muir Beach, CA",649950,51,,,,1425.783524,1129300,0
"Redwood City, CA",660102,15815,1432,1755,631,2162.85584,1127100,248
"Tetherow, OR",4172820,0,,,,,1126800,0
"Minnetonka Beach, MN",2743270,0,65,0,27,,1125000,0
"Rumson, NJ",3465130,168,360,31,27,2663.356712,1123900,0
"Rancho Palos Verdes, CA",659514,3447,804,140,233,2685.646489,1114800,247
"Sunnyvale, CA",677000,30599,5360,2039,1252,2364.479039,1111800,1164
"Sea Ranch Lakes, FL",1264725,17,2,0,0,2868.179628,1109600,0
"San Miguel, Contra Costa County, CA",668263,73,142,0,0,2462.8,1109300,11
"Wilson, WY",5683765,38,0,0,76,1327.571429,1108000,54
"Hewlett Harbor, NY",3634308,0,19,0,0,,1105500,0
"Sunol, CA",677042,100,0,14,0,1500.605261,1104200,7
"Mockingbird Valley, KY",2152842,0,0,0,0,,1102300,0
"Bow Mar, CO",808070,0,25,30,0,3000.046692,1100000,0
"Lazy Lake, FL",1239750,0,,,,,1100000,0
"Tuxedo Park, NY",3675803,40,0,0,0,1388.110447,1097800,9
"Bridgehampton, NY",3608136,34,5,6,0,1355.2049,1093800,0
"Quogue, NY",3660422,82,10,32,0,1517.489438,1093800,0
"Russell Gardens, NY",3664232,47,24,18,0,2018.746005,1093800,1
"Moraga, CA",649187,1099,477,179,238,1967.418624,1093600,10
"Travilah, MD",2478650,162,131,53,247,3407.243104,1090400,47
"Wellesley, MA",2574210,1564,832,750,227,1859.2,1090400,53
"Hewlett Neck, NY",3634319,2,0,0,0,,1086800,0
"Kaanapali, HI",1520000,50,0,0,8,2729.245814,1083300,789
"Kaser, NY",3638934,848,0,0,0,1020.2,1083300,0
"Roslyn Harbor, NY",3663803,8,5,0,0,2516.758201,1081200,0
"Monomoscoy Island, MA",2541960,26,,,,,1078100,9
"Kalihiwai, HI",1526750,34,0,0,0,1093.774589,1076900,27
